0,2,5,7,11,16,21,23,24,25,26,27,28,31,33,35,39,42,43,30,27,23,20,36,33,30,29,28,28,30,33,35,38,40,43,46,48,38
2,0,3,5,9,14,19,21,22,23,24,25,26,29,31,33,37,40,41,28,25,21,18,34,31,28,27,26,26,28,31,33,36,38,41,44,46,36
5,3,0,2,6,11,16,18,19,20,21,22,23,26,28,30,34,37,38,25,22,18,15,31,28,25,24,23,23,25,28,30,33,35,38,41,43,33
7,5,2,0,4,9,14,16,17,18,19,20,21,24,26,28,32,35,36,23,20,16,13,29,26,23,22,21,21,23,26,28,31,33,36,39,41,31
11,9,6,4,0,5,10,12,13,14,15,16,17,20,22,24,28,31,32,19,16,12,9,25,22,19,18,17,17,19,22,24,27,29,32,35,37,27
16,14,11,9,5,0,5,7,8,9,10,11,12,15,17,19,23,26,27,14,11,7,4,20,17,14,13,12,12,14,17,19,22,24,27,30,32,22
21,19,16,14,10,5,0,2,3,4,5,6,7,10,12,14,18,21,22,19,16,12,9,15,12,9,8,7,7,9,12,14,17,19,22,25,27,17
23,21,18,16,12,7,2,0,1,2,3,4,5,8,10,12,16,19,20,21,18,14,11,13,10,7,6,5,5,7,10,12,15,17,20,23,25,15
24,22,19,17,13,8,3,1,0,1,2,3,4,7,9,11,15,18,19,22,19,15,12,12,9,6,5,4,4,6,9,11,14,16,19,22,24,14
25,23,20,18,14,9,4,2,1,0,1,2,3,6,8,10,14,17,18,23,20,16,13,11,8,5,4,3,3,5,8,10,13,15,18,21,23,13
26,24,21,19,15,10,5,3,2,1,0,1,2,5,7,9,13,16,17,24,21,17,14,10,7,4,3,2,2,4,7,9,12,14,17,20,22,12
27,25,22,20,16,11,6,4,3,2,1,0,1,4,6,8,12,15,16,25,22,18,15,9,6,3,2,1,1,3,6,8,11,13,16,19,21,11
28,26,23,21,17,12,7,5,4,3,2,1,0,3,5,7,11,14,15,26,23,19,16,10,7,4,3,2,2,4,7,9,12,14,17,20,22,12
31,29,26,24,20,15,10,8,7,6,5,4,3,0,2,4,8,11,12,29,26,22,19,13,10,7,6,5,5,7,10,12,15,17,20,23,25,15
33,31,28,26,22,17,12,10,9,8,7,6,5,2,0,2,6,9,10,31,28,24,21,15,12,9,8,7,7,9,12,14,17,19,22,25,27,17
35,33,30,28,24,19,14,12,11,10,9,8,7,4,2,0,4,7,8,33,30,26,23,17,14,11,10,9,9,11,14,16,19,21,24,27,29,19
39,37,34,32,28,23,18,16,15,14,13,12,11,8,6,4,0,3,4,37,34,30,27,21,18,15,14,13,13,15,18,20,23,25,28,31,33,23
42,40,37,35,31,26,21,19,18,17,16,15,14,11,9,7,3,0,1,40,37,33,30,24,21,18,17,16,16,18,21,23,26,28,31,34,36,26
43,41,38,36,32,27,22,20,19,18,17,16,15,12,10,8,4,1,0,41,38,34,31,25,22,19,18,17,17,19,22,24,27,29,32,35,37,27
30,28,25,23,19,14,19,21,22,23,24,25,26,29,31,33,37,40,41,0,3,7,10,34,31,28,27,26,26,28,31,33,36,38,41,44,46,36
27,25,22,20,16,11,16,18,19,20,21,22,23,26,28,30,34,37,38,3,0,4,7,31,28,25,24,23,23,25,28,30,33,35,38,41,43,33
23,21,18,16,12,7,12,14,15,16,17,18,19,22,24,26,30,33,34,7,4,0,3,27,24,21,20,19,19,21,24,26,29,31,34,37,39,29
20,18,15,13,9,4,9,11,12,13,14,15,16,19,21,23,27,30,31,10,7,3,0,24,21,18,17,16,16,18,21,23,26,28,31,34,36,26
36,34,31,29,25,20,15,13,12,11,10,9,10,13,15,17,21,24,25,34,31,27,24,0,3,6,7,8,10,12,15,17,20,22,25,28,30,14
33,31,28,26,22,17,12,10,9,8,7,6,7,10,12,14,18,21,22,31,28,24,21,3,0,3,4,5,7,9,12,14,17,19,22,25,27,11
30,28,25,23,19,14,9,7,6,5,4,3,4,7,9,11,15,18,19,28,25,21,18,6,3,0,1,2,4,6,9,11,14,16,19,22,24,8
29,27,24,22,18,13,8,6,5,4,3,2,3,6,8,10,14,17,18,27,24,20,17,7,4,1,0,1,3,5,8,10,13,15,18,21,23,9
28,26,23,21,17,12,7,5,4,3,2,1,2,5,7,9,13,16,17,26,23,19,16,8,5,2,1,0,2,4,7,9,12,14,17,20,22,10
28,26,23,21,17,12,7,5,4,3,2,1,2,5,7,9,13,16,17,26,23,19,16,10,7,4,3,2,0,2,5,7,10,12,15,18,20,12
30,28,25,23,19,14,9,7,6,5,4,3,4,7,9,11,15,18,19,28,25,21,18,12,9,6,5,4,2,0,3,5,8,10,13,16,18,14
33,31,28,26,22,17,12,10,9,8,7,6,7,10,12,14,18,21,22,31,28,24,21,15,12,9,8,7,5,3,0,2,5,7,10,13,15,17
35,33,30,28,24,19,14,12,11,10,9,8,9,12,14,16,20,23,24,33,30,26,23,17,14,11,10,9,7,5,2,0,3,5,8,11,13,19
38,36,33,31,27,22,17,15,14,13,12,11,12,15,17,19,23,26,27,36,33,29,26,20,17,14,13,12,10,8,5,3,0,2,5,8,10,22
40,38,35,33,29,24,19,17,16,15,14,13,14,17,19,21,25,28,29,38,35,31,28,22,19,16,15,14,12,10,7,5,2,0,3,6,8,24
43,41,38,36,32,27,22,20,19,18,17,16,17,20,22,24,28,31,32,41,38,34,31,25,22,19,18,17,15,13,10,8,5,3,0,3,5,27
46,44,41,39,35,30,25,23,22,21,20,19,20,23,25,27,31,34,35,44,41,37,34,28,25,22,21,20,18,16,13,11,8,6,3,0,2,30
48,46,43,41,37,32,27,25,24,23,22,21,22,25,27,29,33,36,37,46,43,39,36,30,27,24,23,22,20,18,15,13,10,8,5,2,0,32
38,36,33,31,27,22,17,15,14,13,12,11,12,15,17,19,23,26,27,36,33,29,26,14,11,8,9,10,12,14,17,19,22,24,27,30,32,0
